algorithm,config_key,lambda1,lambda2,num_tasks,objective_value,task_cost,expected_completion_rate,runtime_seconds
CPLEX,balanced,0.5,0.5,10,14.138853281568597,6.252924038194092,0.3453063060133128,0.2239495825767517
LBTM,balanced,0.5,0.5,10,9.523188804331857,14.252379788251176,0.33298757396914896,0.0014833307266235351
RTM-RPF,balanced,0.5,0.5,10,17.27549126741086,7.633787632333614,0.4218477016715533,0.0030080699920654297
SPTM,balanced,0.5,0.5,10,12.553830444656688,10.046087342377195,0.35153748231690574,0.001551992893218994
CPLEX,balanced,0.5,0.5,20,11.60323486126118,11.54473266904414,0.3475120239156651,0.7161741781234742
LBTM,balanced,0.5,0.5,20,1.2879168142435884,23.499967287078704,0.26075800915565883,0.002116279602050781
RTM-RPF,balanced,0.5,0.5,20,12.559279905460851,15.02818885695692,0.4014674866787862,0.005382320880889893
SPTM,balanced,0.5,0.5,20,6.954618222010062,19.625988899077765,0.3353522534309789,0.002565915584564209
CPLEX,balanced,0.5,0.5,30,9.100588218621526,16.466787549593484,0.3466796398683653,1.5158943390846253
LBTM,balanced,0.5,0.5,30,-3.589833028976523,26.814476466125484,0.19634810408172435,0.0024452805519104004
RTM-RPF,balanced,0.5,0.5,30,7.920598383927951,21.157943154634484,0.36999139922490387,0.007317988872528076
SPTM,balanced,0.5,0.5,30,2.174755837629738,25.989326273331987,0.3033883794859146,0.0034194231033325196
CPLEX,balanced,0.5,0.5,40,6.426342659807387,20.429328810684236,0.3328201413029902,2.854300377368927
LBTM,balanced,0.5,0.5,40,-6.399617244605443,28.05432710936519,0.15255092620154304,0.002645890712738037
RTM-RPF,balanced,0.5,0.5,40,3.88750511439642,25.57497462670819,0.33349984855501036,0.00911252737045288
SPTM,balanced,0.5,0.5,40,-2.6199466845076222,31.63945569203744,0.263995623230222,0.004114501476287842
CPLEX,balanced,0.5,0.5,50,4.020763760646993,22.76813239027378,0.3080965991156777,3.2855403327941897
LBTM,balanced,0.5,0.5,50,-7.545100626021288,27.32398936700482,0.12233788114962246,0.002814369201660156
RTM-RPF,balanced,0.5,0.5,50,0.6885329032478008,28.24840660689167,0.29625472413387277,0.010316760540008544
SPTM,balanced,0.5,0.5,50,-5.869085617797807,34.516774102395,0.22778602866799388,0.004385795593261719
CPLEX,completion_focused,0.25,0.75,10,23.750782536581823,6.876997284465435,0.3396004247693091,0.2655999803543091
LBTM,completion_focused,0.25,0.75,10,21.410973100623377,14.252379788251176,0.33298757396914896,0.0016880393028259276
RTM-RPF,completion_focused,0.25,0.75,10,29.7301307172831,7.633787632333614,0.4218477016715533,0.0031005859375
SPTM,completion_focused,0.25,0.75,10,23.853789338173627,10.046087342377195,0.35153748231690574,0.0014170765876770019
CPLEX,completion_focused,0.25,0.75,20,22.647738486949542,12.55971482617158,0.3438355625798991,0.954145143032074
LBTM,completion_focused,0.25,0.75,20,13.681858864904736,23.499967287078704,0.26075800915565883,0.0020623111724853514
RTM-RPF,completion_focused,0.25,0.75,20,26.353014286669737,15.02818885695692,0.4014674866787862,0.005132842063903809
SPTM,completion_focused,0.25,0.75,20,20.24492178255398,19.625988899077765,0.3353522534309789,0.0027835392951965333
CPLEX,completion_focused,0.25,0.75,30,21.45236303955805,17.67223211733161,0.34493894758521265,2.4700006532669065
LBTM,completion_focused,0.25,0.75,30,8.022488689597955,26.814476466125484,0.19634810408172435,0.0024181008338928223
RTM-RPF,completion_focused,0.25,0.75,30,22.45986915320917,21.157943154634484,0.36999139922490387,0.007467751502990723
SPTM,completion_focused,0.25,0.75,30,16.2567968931106,25.989326273331987,0.3033883794859146,0.003452122211456299
CPLEX,completion_focused,0.25,0.75,40,19.47089627078352,21.7843457963693,0.33222643626501125,11.670453674793244
LBTM,completion_focused,0.25,0.75,40,4.42773768777443,28.05432710936519,0.15255092620154304,0.00284177303314209
RTM-RPF,completion_focused,0.25,0.75,40,18.618744984948727,25.57497462670819,0.33349984855501036,0.009070124626159668
SPTM,completion_focused,0.25,0.75,40,11.889807819257294,31.63945569203744,0.263995623230222,0.004459583759307861
CPLEX,completion_focused,0.25,0.75,50,17.170436613786595,23.93118632785576,0.3087097759433405,12.075198197364807
LBTM,completion_focused,0.25,0.75,50,2.3443437444704798,27.32398936700482,0.12233788114962246,0.0028530383110046387
RTM-RPF,completion_focused,0.25,0.75,50,15.157002658317538,28.24840660689167,0.29625472413387277,0.010698320865631104
SPTM,completion_focused,0.25,0.75,50,8.45475862450079,34.516774102395,0.22778602866799388,0.00459416151046753
CPLEX,cost_focused,0.75,0.25,10,4.327633833996152,5.688497241313531,0.343760270599252,0.17881330490112304
LBTM,cost_focused,0.75,0.25,10,-2.364595491959658,14.252379788251176,0.33298757396914896,0.001448049545288086
RTM-RPF,cost_focused,0.75,0.25,10,4.820851817538621,7.633787632333614,0.4218477016715533,0.002940640449523926
SPTM,cost_focused,0.75,0.25,10,1.2538715511397465,10.046087342377195,0.35153748231690574,0.0014892411231994629
CPLEX,cost_focused,0.75,0.25,20,0.6632731760658982,10.93592785590367,0.354608762719746,0.36101903676986696
LBTM,cost_focused,0.75,0.25,20,-11.10602523641756,23.499967287078704,0.26075800915565883,0.0022445130348205567
RTM-RPF,cost_focused,0.75,0.25,20,-1.2344544757480338,15.02818885695692,0.4014674866787862,0.005177781581878662
SPTM,cost_focused,0.75,0.25,20,-6.335685338533851,19.625988899077765,0.3353522534309789,0.002455751895904541
CPLEX,cost_focused,0.75,0.25,30,-2.9235750964128617,15.40756016538449,0.34528380110502027,0.6020623421669007
LBTM,cost_focused,0.75,0.25,30,-15.202154747551,26.814476466125484,0.19634810408172435,0.0023825263977050783
RTM-RPF,cost_focused,0.75,0.25,30,-6.618672385353267,21.157943154634484,0.36999139922490387,0.007259647846221923
SPTM,cost_focused,0.75,0.25,30,-11.907285217851122,25.989326273331987,0.3033883794859146,0.0033959507942199706
CPLEX,cost_focused,0.75,0.25,40,-6.008314780359381,18.943925174963457,0.3279851640345284,0.8600632619857788
LBTM,cost_focused,0.75,0.25,40,-17.226972176985313,28.05432710936519,0.15255092620154304,0.0028175234794616697
RTM-RPF,cost_focused,0.75,0.25,40,-10.843734756155891,25.57497462670819,0.33349984855501036,0.009078431129455566
SPTM,cost_focused,0.75,0.25,40,-17.129701188272534,31.63945569203744,0.263995623230222,0.004077551364898682
CPLEX,cost_focused,0.75,0.25,50,-8.235862977095758,20.95483196112668,0.2992104397499699,1.3953505635261536
LBTM,cost_focused,0.75,0.25,50,-17.43454499651305,27.32398936700482,0.12233788114962246,0.0026147294044494627
RTM-RPF,cost_focused,0.75,0.25,50,-13.779936851821937,28.24840660689167,0.29625472413387277,0.009984266757965089
SPTM,cost_focused,0.75,0.25,50,-20.1929298600964,34.516774102395,0.22778602866799388,0.004535160064697266
